Word,Frequency
trump,728
hillary,682
donald,423
president,270
trumps,198
make,189
america,189
people,188
one,174
potus,141
families,133
need,128
americans,127
lets,125
would,121
clinton,115
country,113
women,110
together,107
h,105
every,102
vote,100
cant,99
first,97
american,96
realdonaldtrump,96
hes,92
new,91
know,89
plan,88
going,86
hillaryclinton,84
never,83
time,82
campaign,82
de,80
today,80
day,77
tax,75
back,75
live,74
watch,74
work,73
hillarys,73
good,72
years,71
got,70
take,69
economy,68
say,67
want,66
great,66
youre,65
go,65
let,64
right,64
thats,63
help,62
rights,62
election,60
better,60
sure,60
pay,60
doesnt,60
timkaine,59
says,58
last,57
gun,57
many,57
weve,56
much,56
care,55
heres,55
believe,55
love,54
world,54
see,54
la,53
everyone,53
business,52
family,52
win,52
isnt,52
millions,52
fight,52
violence,52
demsinphilly,52
candidate,51
made,51
woman,51
rncincle,51
proud,50
could,49
working,49
life,48
stand,48
united,48
states,48
best,48
ever,47
