Word,Frequency
trump,710
thank,519
great,464
hillary,341
realdonaldtrump,325
makeamericagreatagain,255
people,224
america,207
cruz,193
clinton,190
new,190
crooked,182
make,169
big,136
ted,128
vote,120
tonight,112
president,112
would,109
cnn,106
many,106
one,106
join,105
today,105
pm,104
poll,101
never,94
bad,94
foxnews,93
time,89
last,89
enjoy,89
media,85
going,82
back,82
win,82
said,81
speech,79
iowa,78
country,78
rubio,78
amazing,75
tomorrow,74
much,74
votetrump,71
support,70
night,70
jobs,70
bernie,70
campaign,69
see,69
good,69
want,69
job,68
republican,68
americafirst,67
wow,67
watch,67
donald,66
go,66
love,66
interviewed,64
show,63
carolina,62
obama,61
maga,60
imwithyou,60
way,60
totally,60
day,58
even,58
debate,57
ohio,57
crowd,57
soon,55
cant,55
florida,54
morning,54
really,53
megynkelly,53
look,51
dishonest,51
rally,50
polls,50
american,49
failing,48
hampshire,48
got,47
nytimes,47
years,46
total,46
york,46
south,46
jeb,46
says,45
made,45
beat,45
national,44
won,44
state,44
